output_text,intput_text
atenolol-chlorthalidone,which medication is used for hypertension
nitrofurantoin,which medication is used for bacterial urinary tract infection
pseudoephed-dm-acetaminophen,which medication is used for fever
hemorrhoids,"what is the uses of Bismuth Subg-Balsam-Znox-Resor, Starch, Pramoxine-Mineral Oil-Zinc"
cefuroxime axetil,which medication is used for bacterial urinary tract infection
diverticulitis of gastrointestinal tract,what is the uses of Metronidazole In Nacl (Iso-Os)
magnesium hydroxide,which medication is used for gastroesophageal reflux disease
capsaicin-camphor-menthol,which medication is used for back pain
"activated charcoal-simethicone, simethicone",which medication is used for flatulence
hypertension,what is the uses of Benazepril
sulfamethoxazole-trimethoprim,which medication is used for bacterial urinary tract infection
Atopic Dermatitis,what is the uses of Hydrocortisone-Oatmeal-Aloe-E
hypertension,what is the uses of Telmisartan-Hydrochlorothiazid
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin
flatulence,what is the uses of Simethicone
dimenhydrinate,which medication is used for meniere's disease
Atopic Dermatitis,what is the uses of Hydrocortisone Butyrate
famotidine-ca carb-mag hydrox,which medication is used for gastroesophageal reflux disease
phenyltoloxamine-acetaminophen,which medication is used for fever
Atopic Dermatitis,what is the uses of Alclometasone
fever,what is the uses of Naproxen Sodium
norethindrone acetate,which medication is used for endometriosis
gout,what is the uses of Mefenamic Acid
pantoprazole,which medication is used for gastroesophageal reflux disease
gastroesophageal reflux disease,what is the uses of Erythromycin Stearate
hemorrhoids,what is the uses of Hydrocortisone
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin In 5 % Dextrose
endometriosis,what is the uses of Noreth-Ethinyl Estradiol-Iron
hydrocortisone,which medication is used for atopic dermatitis
vulvovaginal candidiasis,what is the uses of Terconazole
hypertension,what is the uses of Atenolol-Chlorthalidone
back pain,"what is the uses of ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf"
Atopic Dermatitis,what is the uses of Desonide
aspirin-acetaminophen-caffeine,which medication is used for fever
amoxicillin-pot clavulanate,which medication is used for bacterial urinary tract infection
Acute Bacterial Sinusitis,what is the uses of Levofloxacin
imipramine hcl,which medication is used for depression
fluocinonide-emollient,which medication is used for atopic dermatitis
captopril-hydrochlorothiazide,which medication is used for hypertension
telmisartan,which medication is used for hypertension
valsartan-hydrochlorothiazide,which medication is used for hypertension
Bacterial Urinary Tract Infection,what is the uses of Trimethoprim
duloxetine,which medication is used for fibromyalgia
Atopic Dermatitis,what is the uses of Dexamethasone
fluvastatin,which medication is used for prevention of cerebrovascular accident
gout,what is the uses of Celecoxib
rabeprazole,which medication is used for gastroesophageal reflux disease
erythromycin ethylsuccinate,which medication is used for pharyngitis due to streptococcus pyogenes
fever,"what is the uses of Pseudoeph-DM-GG-Acetaminophen, Chlorphen-PE-DM-Acetaminophen"
atenolol,which medication is used for hypertension
ampicillin sodium,which medication is used for bacterial urinary tract infection
flatulence,"what is the uses of Alum-Mag Hydroxide-Simeth, Calcium Carbonate-Simethicone"
ranitidine hcl,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Valsartan
Acute Bacterial Sinusitis,what is the uses of Ampicillin
mometasone,which medication is used for atopic dermatitis
levofloxacin,which medication is used for acute bacterial sinusitis
valacyclovir,which medication is used for herpes zoster
Influenza,what is the uses of Zanamivir
fibromyalgia,what is the uses of Pramipexole
hypercholesterolemia,what is the uses of Niacin
vertigo,what is the uses of Diphenhydramine Citrate
"aluminum-magnesium hydroxide, calcium carbonate-mag hydroxid, calcium and magnesium carbonat, calcium carbonate, alum-mag hydroxide-simeth",which medication is used for flatulence
back pain,"what is the uses of Cpm-PPA-DM-Acetaminophen, Acetaminophen"
chlorthalidone,which medication is used for edema
depression,what is the uses of Amitriptyline
atorvastatin,which medication is used for hypercholesterolemia
fever,what is the uses of Naproxen
hypertension,what is the uses of Quinapril-Hydrochlorothiazide
diverticulitis of gastrointestinal tract,what is the uses of Meropenem
Bacterial Urinary Tract Infection,what is the uses of Acetohydroxamic Acid
naproxen sodium,which medication is used for gout
ampicillin sodium,which medication is used for bacterial urinary tract infection
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
back pain,what is the uses of Capsaicin
erythromycin,which medication is used for acute bacterial sinusitis
omeprazole-sodium bicarbonate,which medication is used for gastroesophageal reflux disease
Influenza,what is the uses of Oseltamivir
hydrocortisone,which medication is used for hemorrhoids
nifedipine,which medication is used for hypertension
nicardipine,which medication is used for hypertension
hypertension,what is the uses of Amlodipine-Benazepril
Atopic Dermatitis,what is the uses of Hydrocortisone Sod Succ (PF)
fever,"what is the uses of Aspirin, Buffered"
amitriptyline,which medication is used for fibromyalgia
fibromyalgia,what is the uses of Paroxetine Hcl
"vit e-glycerin-dimethicone, glycerin-dimethicone-petro, wh",which medication is used for atopic dermatitis
Atopic Dermatitis,what is the uses of Betamethasone Dipropionate
Bacterial Urinary Tract Infection,what is the uses of Fosfomycin Tromethamine
acyclovir-hydrocortisone,which medication is used for genital herpes simplex
hypercholesterolemia,what is the uses of Alirocumab
Bacterial Conjunctivitis,what is the uses of Neomycin-Polymyxin-Gramicidin
fibromyalgia,what is the uses of Duloxetine
miconazole-skin clnsr17,which medication is used for vulvovaginal candidiasis
edema,what is the uses of Spironolactone
pramoxine-zinc oxide,which medication is used for hemorrhoids
gemcitabine,which medication is used for adenocarcinoma of pancreas
"aluminum-magnesium-alginate, alum-mag hydroxide-simeth",which medication is used for flatulence
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
prevention of cerebrovascular accident,what is the uses of Telmisartan
"calcium carbonate-mag hydroxid, dihydroxyaluminum sod carb",which medication is used for gastroesophageal reflux disease
fever,what is the uses of Ibuprofen
lovastatin,which medication is used for hypercholesterolemia
Atopic Dermatitis,what is the uses of Pimecrolimus
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth"
diclofenac-misoprostol,which medication is used for gout
gastroesophageal reflux disease,what is the uses of Aluminum Hydroxide Gel
Bacterial Conjunctivitis,what is the uses of Neomycin-Bacitracin-Polymyxin
Atopic Dermatitis,what is the uses of Vit E-Grape-Hyaluronate Sodium
magnesium hydroxide,which medication is used for gastroesophageal reflux disease
fibromyalgia,what is the uses of Pramipexole
ciprofloxacin,which medication is used for bacterial urinary tract infection
vulvovaginal candidiasis,what is the uses of Butoconazole Nitrate
bacitracin-polymyxin b,which medication is used for bacterial conjunctivitis
"phenyleph-shark oil-cocoa butr, skin rsp ftr-srk liv-phenylmer, phenyleph-shark liv oil-mo-pet",which medication is used for hemorrhoids
meclizine,which medication is used for vertigo
oral candidiasis,what is the uses of Nystatin
Bacterial Urinary Tract Infection,what is the uses of Amoxicillin-Pot Clavulanate
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin
back pain,"what is the uses of Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil"
omeprazole-sodium bicarbonate,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Fosinopril-Hydrochlorothiazide
hypercholesterolemia,what is the uses of Ezetimibe-Simvastatin
cholestyramine-aspartame,which medication is used for hypercholesterolemia
telmisartan,which medication is used for prevention of cerebrovascular accident
amcinonide,which medication is used for atopic dermatitis
hypertension,what is the uses of Nisoldipine
triamterene,which medication is used for edema
norethindrone-ethin estradiol,which medication is used for endometriosis
permethrin,which medication is used for scabies
famotidine,which medication is used for gastroesophageal reflux disease
candesartan-hydrochlorothiazid,which medication is used for hypertension
acetaminophen-dm,which medication is used for fever
vertigo,"what is the uses of Diphenhydramine Hcl, Dextromethorphan-Guaifenesin, Dextromethorphan Hbr"
norethin-e.estradiol triphasic,which medication is used for endometriosis
esomeprazole magnesium,which medication is used for gastroesophageal reflux disease
prevention of cerebrovascular accident,what is the uses of Simvastatin
Atopic Dermatitis,"what is the uses of Betamethasone Acet,Sod Phos"
hypertension,what is the uses of Losartan-Hydrochlorothiazide
fever,what is the uses of Ibuprofen
"aluminum-magnesium hydroxide, aluminum hydrox-magnesium carb, dihydroxyaluminum sod carb, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
depression,what is the uses of Amoxapine
phenyleph-pramoxin-glycr-w.pet,which medication is used for hemorrhoids
vertigo,"what is the uses of Diphenhydramine Hcl, Diphenhydramine Citrate"
capecitabine,which medication is used for adenocarcinoma of pancreas
eplerenone,which medication is used for hypertension
fosfomycin tromethamine,which medication is used for bacterial urinary tract infection
prevention of cerebrovascular accident,what is the uses of Pravastatin
fenofibric acid (choline),which medication is used for hypercholesterolemia
hypertension,what is the uses of Betaxolol
aspirin-calcium carbonate,which medication is used for fever
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
"diphenhydramine hcl, clemastine-phenylprop, triprolidine-pseudoephedrine",which medication is used for vertigo
vertigo,"what is the uses of Diphenhydramine Hcl, Clemastine-Phenylprop, Triprolidine-Pseudoephedrine"
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin Hcl
cefazolin,which medication is used for bacterial urinary tract infection
scabies,what is the uses of Permethrin
Bacterial Urinary Tract Infection,what is the uses of Fosfomycin Tromethamine
hydrocortisone,which medication is used for hemorrhoids
vulvovaginal candidiasis,what is the uses of Miconazole Nitrate
erythromycin stearate,which medication is used for pharyngitis due to streptococcus pyogenes
Bacterial Conjunctivitis,what is the uses of Sulfacetamide Sodium
oxaliplatin,which medication is used for adenocarcinoma of pancreas
gout,what is the uses of Naproxen Sodium
"betamethasone acet,sod phos",which medication is used for atopic dermatitis
Bacterial Urinary Tract Infection,what is the uses of Ampicillin
naproxen sodium,which medication is used for fever
hypertension,what is the uses of Spironolactone
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefditoren Pivoxil
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
Bacterial Conjunctivitis,what is the uses of Bacitracin
edema,what is the uses of Chlorthalidone
triamcinolone acetonide,which medication is used for atopic dermatitis
fever,what is the uses of Aspirin
amoxicillin-pot clavulanate,which medication is used for acute bacterial sinusitis
hypercholesterolemia,what is the uses of Lovastatin
hydrocortisone,which medication is used for atopic dermatitis
fluconazole,which medication is used for oral candidiasis
endometriosis,what is the uses of Medroxyprogesterone
impetigo,what is the uses of Retapamulin
impetigo,what is the uses of Mupirocin
desonide-emollient combo no 28,which medication is used for atopic dermatitis
fever,what is the uses of Ibuprofen
fibromyalgia,what is the uses of Mirtazapine
amoxicillin-pot clavulanate,which medication is used for acute bacterial sinusitis
sore throat,what is the uses of Dextromethorphan-Benzocaine
Atopic Dermatitis,what is the uses of Hydrocortisone
fever,what is the uses of Aspirin-Calcium Carbonate
dimenhydrinate,which medication is used for meniere's disease
prevention of cerebrovascular accident,what is the uses of Fluvastatin
nortriptyline,which medication is used for depression
Bacterial Urinary Tract Infection,what is the uses of Cefazolin In Dextrose (Iso-Os)
edema,"what is the uses of Triamterene-Hydrochlorothiazid, Trichlormethiazide"
lovastatin,which medication is used for prevention of cerebrovascular accident
Acute Bacterial Sinusitis,what is the uses of Moxifloxacin-Sod.Chloride(Iso)
naproxen,which medication is used for gout
indapamide,which medication is used for edema
fever,what is the uses of Acetaminophen-Caffeine
benazepril,which medication is used for hypertension
"aluminum-magnesium hydroxide, calcium carbonate, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
fluocinolone-skin clnsr28,which medication is used for atopic dermatitis
gout,what is the uses of Diclofenac Potassium
meniere's disease,what is the uses of Dimenhydrinate
hemorrhoids,what is the uses of Phenyleph-Min Oil-Petrolatum
"cpm-ppa-dm-acetaminophen, acetaminophen",which medication is used for fever
ibuprofen,which medication is used for gout
ethacrynic acid,which medication is used for edema
gastroesophageal reflux disease,what is the uses of Rabeprazole
Bacterial Urinary Tract Infection,what is the uses of Cefuroxime Sodium
fever,what is the uses of Phenyltoloxamine-Acetaminophen
back pain,what is the uses of Trolamine Salicylate
acyclovir sodium,which medication is used for herpes zoster
fibromyalgia,what is the uses of Milnacipran
hypercholesterolemia,what is the uses of Amlodipine-Atorvastatin
risperidone,which medication is used for infantile autism
genital herpes simplex,what is the uses of Valacyclovir
hemorrhoids,what is the uses of Lidocaine-Hydrocortisone-Aloe
noreth-ethinyl estradiol-iron,which medication is used for endometriosis
bumetanide,which medication is used for hypertension
al hyd-mg tr-alg ac-sod bicarb,which medication is used for gastroesophageal reflux disease
diclofenac potassium,which medication is used for gout
hypertension,what is the uses of Telmisartan-Amlodipine
sore throat,what is the uses of Doxylamine-DM-Acetaminophen
hydrocortisone butyr-emollient,which medication is used for atopic dermatitis
fever,"what is the uses of Chlorphen-PE-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
fever,what is the uses of Acetaminophen
vertigo,what is the uses of Meclizine
hypertension,what is the uses of Nebivolol
telmisartan-hydrochlorothiazid,which medication is used for hypertension
Acute Bacterial Sinusitis,what is the uses of Amoxicillin-Pot Clavulanate
ampicillin sodium,which medication is used for acute bacterial sinusitis
vertigo,what is the uses of Dimenhydrinate
cpm-ppa-dm-acetaminophen,which medication is used for fever
fever,what is the uses of Chlorpheniram-DM-Acetaminophen
Atopic Dermatitis,what is the uses of Cetirizine
Bacterial Conjunctivitis,what is the uses of Gentamicin-Prednisolone
oxaprozin,which medication is used for gout
Atopic Dermatitis,what is the uses of Hydrocortisone Acetate
phenylephrine-witch hazel,which medication is used for hemorrhoids
hypertension,what is the uses of Carvedilol
hypertension,what is the uses of Verapamil
levofloxacin in d5w,which medication is used for bacterial urinary tract infection
minoxidil,which medication is used for hypertension
captopril,which medication is used for hypertension
"menthol-camphor-antarth cb#1, methyl salicylate-menthol, camphor-menthol, camphor-methyl salicyl-menthol",which medication is used for back pain
hypercholesterolemia,what is the uses of Fluvastatin
"pramoxine-calamine-camphor, pramoxine-calamine",which medication is used for hemorrhoids
fever,"what is the uses of Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen"
hypertension,what is the uses of Lisinopril
Atopic Dermatitis,what is the uses of Prednisolone
hypertension,what is the uses of Amiloride-Hydrochlorothiazide
hypertension,what is the uses of Doxazosin
ampicillin,which medication is used for bacterial urinary tract infection
hypertension,what is the uses of Hydralazine
hypertension,what is the uses of Amlodipine-Atorvastatin
pitavastatin calcium,which medication is used for hypercholesterolemia
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin
norgestrel-ethinyl estradiol,which medication is used for endometriosis
piperacillin-tazobactam,which medication is used for diverticulitis of gastrointestinal tract
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin In D5W
Bacterial Urinary Tract Infection,what is the uses of Cefixime
Atopic Dermatitis,what is the uses of Clobetasol-Emollient
adenocarcinoma of pancreas,what is the uses of Paclitaxel-Protein Bound
Atopic Dermatitis,what is the uses of Hydrocortisone-Iodoquinol
genital herpes simplex,what is the uses of Acyclovir
irbesartan-hydrochlorothiazide,which medication is used for hypertension
ciprofloxacin hcl,which medication is used for bacterial urinary tract infection
meloxicam,which medication is used for gout
herpes zoster,what is the uses of Famciclovir
hydrocortisone acetate,which medication is used for hemorrhoids
hypertension,what is the uses of Methyldopa
omeprazole,which medication is used for gastroesophageal reflux disease
niacin,which medication is used for hypercholesterolemia
endometriosis,what is the uses of Norgestrel-Ethinyl Estradiol
methylprednisolone,which medication is used for atopic dermatitis
Atopic Dermatitis,what is the uses of Hydrocortisone Acetate
rosuvastatin,which medication is used for prevention of cerebrovascular accident
betamethasone dipropionate,which medication is used for atopic dermatitis
trimethoprim,which medication is used for bacterial urinary tract infection
pramoxine-zinc acetate,which medication is used for hemorrhoids
sulfacetamide-prednisolone,which medication is used for bacterial conjunctivitis
flatulence,"what is the uses of Calcium Carb-Mag Hydrox-Simeth, Alum-Mag Hydroxide-Simeth"
cefuroxime axetil,which medication is used for pharyngitis due to streptococcus pyogenes
fluvastatin,which medication is used for hypercholesterolemia
bisoprolol fumarate,which medication is used for hypertension
depression,what is the uses of Doxepin
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
"fenofibrate micronized, fenofibrate nanocrystallized",which medication is used for hypercholesterolemia
diflunisal,which medication is used for gout
hypertension,what is the uses of Candesartan-Hydrochlorothiazid
fever,what is the uses of Chlorpheniram-DM-Acetaminophen
fever,what is the uses of Doxylamine-DM-Acetaminophen
doxylamine-pe-dm-acetaminophen,which medication is used for fever
hemorrhoids,"what is the uses of Starch, Pramoxine-Mineral Oil-Zinc"
phenyleph-min oil-petrolatum,which medication is used for hemorrhoids
hypertension,what is the uses of Azilsartan Medoxomil
phenelzine,which medication is used for depression
fever,what is the uses of Aspirin
ursodiol,which medication is used for biliary calculus
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
impetigo,"what is the uses of Mupirocin Calcium, Mupirocin"
lindane,which medication is used for scabies
ciprofloxacin,which medication is used for diverticulitis of gastrointestinal tract
torsemide,which medication is used for hypertension
gentamicin-prednisolone,which medication is used for bacterial conjunctivitis
hypertension,what is the uses of Metoprolol Su-Hydrochlorothiaz
fluorouracil,which medication is used for adenocarcinoma of pancreas
fever,what is the uses of Phenylephrine-DM-Acetaminophen
niacin,which medication is used for hypercholesterolemia
aspirin,which medication is used for prevention of cerebrovascular accident
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,"what is the uses of Ciprofloxacin Hcl, Ciprofloxacin"
"phenyleph-shark oil-glyc-pet, phenyleph-min oil-petrolatum, cocoa butter-shark liver oil",which medication is used for hemorrhoids
Atopic Dermatitis,what is the uses of Hydrocortisone Butyr-Emollient
pseudoephed-dm-acetaminophen,which medication is used for fever
ibuprofen,which medication is used for fever
medroxyprogesterone,which medication is used for endometriosis
hypertension,what is the uses of Minoxidil
flatulence,what is the uses of Alum-Mag Hydroxide-Simeth
diflorasone,which medication is used for atopic dermatitis
hydrocortisone,which medication is used for hemorrhoids
fever,what is the uses of Aspirin
hypertension,what is the uses of Clonidine Hcl
hemorrhoids,what is the uses of Phenylephrine-Cocoa Butter
"doxycycline calcium, doxycycline hyclate, doxycycline monohydrate",which medication is used for bacterial urinary tract infection
"aluminum-magnesium hydroxide, calcium carbonate-mag hydroxid, calcium and magnesium carbonat, calcium carbonate, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
acyclovir sodium,which medication is used for genital herpes simplex
levofloxacin,which medication is used for bacterial conjunctivitis
endometriosis,what is the uses of Medroxyprogesterone
mirtazapine,which medication is used for fibromyalgia
back pain,what is the uses of Capsaicin-Camphor-Menthol
hypertension,what is the uses of Nicardipine
back pain,"what is the uses of Menthol, Capsaicin"
hypercholesterolemia,what is the uses of Niacin
azithromycin,which medication is used for pharyngitis due to streptococcus pyogenes
hypertension,what is the uses of Diltiazem Hcl
Atopic Dermatitis,what is the uses of Fluocinonide
endometriosis,what is the uses of Norgestimate-Ethinyl Estradiol
endometriosis,what is the uses of Triptorelin Pamoate
vulvovaginal candidiasis,what is the uses of Butoconazole Nitrate
"diphenhydramine-calamine, pramoxine-calamine",which medication is used for hemorrhoids
Atopic Dermatitis,what is the uses of Triamcinolone Acetonide
hypertension,what is the uses of Hydrochlorothiazide
erythromycin stearate,which medication is used for acute bacterial sinusitis
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
erythromycin,which medication is used for bacterial conjunctivitis
Infantile Autism,what is the uses of Risperidone
acetohydroxamic acid,which medication is used for bacterial urinary tract infection
cefadroxil,which medication is used for pharyngitis due to streptococcus pyogenes
triamterene,which medication is used for hypertension
Atopic Dermatitis,"what is the uses of Desonide-Emollient Combo No 28, Desonide"
flatulence,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
acyclovir,which medication is used for chickenpox
hydrocortisone-iodoquinl-aloe2,which medication is used for atopic dermatitis
benazepril-hydrochlorothiazide,which medication is used for hypertension
chlorpheniram-dm-acetaminophen,which medication is used for sore throat
naproxen,which medication is used for fever
gout,what is the uses of Ketoprofen
clobetasol,which medication is used for atopic dermatitis
"phenylephrine hcl, bismuth subg-balsam-znox-resor",which medication is used for hemorrhoids
gastroesophageal reflux disease,what is the uses of Magnesium Hydroxide
biliary calculus,what is the uses of Ursodiol
Atopic Dermatitis,what is the uses of Desoximetasone
tacrolimus,which medication is used for atopic dermatitis
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefuroxime Axetil
back pain,what is the uses of Aspirin-Acetaminophen-Caffeine
"hydrocortisone-pramoxine, hydrocortisone",which medication is used for atopic dermatitis
cefuroxime sodium,which medication is used for bacterial urinary tract infection
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
back pain,what is the uses of Trolamine Salicylate-Aloe Vera
carvedilol phosphate,which medication is used for hypertension
triamterene-hydrochlorothiazid,which medication is used for edema
ibuprofen,which medication is used for gout
perindopril erbumine,which medication is used for hypertension
Bacterial Urinary Tract Infection,"what is the uses of Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate"
acetaminophen-caffeine,which medication is used for fever
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
"al hyd-mg tr-alg ac-sod bicarb, aluminum hydrox-magnesium carb, aluminum-magnesium-alginate, calcium carbonate",which medication is used for gastroesophageal reflux disease
fever,what is the uses of Naproxen Sodium
ceftazidime,which medication is used for bacterial urinary tract infection
hemorrhoids,"what is the uses of Phenylephrine Hcl, Bismuth Subg-Balsam-Znox-Resor"
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
fenofibrate micronized,which medication is used for hypercholesterolemia
doxazosin,which medication is used for hypertension
imipenem-cilastatin,which medication is used for bacterial urinary tract infection
sore throat,what is the uses of Chlorpheniram-DM-Acetaminophen
ciprofloxacin hcl,which medication is used for bacterial urinary tract infection
depression,what is the uses of Desipramine
"diphenhydramine hcl, dextromethorphan-guaifenesin, dextromethorphan hbr",which medication is used for vertigo
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin Monohyd/M-Cryst
"doxylamine-pe-dm-acetaminophen, diphenhydramine-ppa-asa",which medication is used for fever
hypertension,what is the uses of Propranolol
Bacterial Urinary Tract Infection,what is the uses of Imipenem-Cilastatin
fibromyalgia,what is the uses of Duloxetine
hydrocortisone-oatmeal-aloe-e,which medication is used for atopic dermatitis
Atopic Dermatitis,what is the uses of Hydrocortisone Probutate
perindopril-amlodipine,which medication is used for hypertension
hemorrhoids,what is the uses of Pramoxine-Zinc Oxide
Acute Bacterial Sinusitis,what is the uses of Erythromycin Stearate
Bacterial Urinary Tract Infection,what is the uses of Aztreonam
diverticulitis of gastrointestinal tract,what is the uses of Amoxicillin-Pot Clavulanate
genital herpes simplex,what is the uses of Acyclovir Sodium
valacyclovir,which medication is used for genital herpes simplex
prevention of cerebrovascular accident,what is the uses of Amlodipine-Atorvastatin
cefixime,which medication is used for bacterial urinary tract infection
niacin,which medication is used for hypercholesterolemia
acebutolol,which medication is used for hypertension
"cpm-ppa-dm-acetaminophen, acetaminophen",which medication is used for back pain
fluocinolone,which medication is used for atopic dermatitis
endometriosis,what is the uses of Norethindrone-E.Estradiol-Iron
alum-mag hydroxide-simeth,which medication is used for flatulence
gastroesophageal reflux disease,what is the uses of Nizatidine
calcium carbonate-simethicone,which medication is used for flatulence
capsaicin,which medication is used for back pain
vertigo,what is the uses of Diphenhydramine Hcl
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Penicillin G Benzathine
Atopic Dermatitis,what is the uses of Methylprednisolone
fever,what is the uses of Phenylephrine-DM-Acetaminophen
prevention of cerebrovascular accident,what is the uses of Fluvastatin
gastroesophageal reflux disease,what is the uses of Famotidine
hemorrhoids,what is the uses of Pramoxine-Calamine
hypertension,what is the uses of Metoprolol Ta-Hydrochlorothiaz
bumetanide,which medication is used for edema
hydralazine,which medication is used for hypertension
hypertension,what is the uses of Nicardipine
doxycycline calcium,which medication is used for bacterial urinary tract infection
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
Atopic Dermatitis,what is the uses of Dexamethasone Sodium Phosphate
metolazone,which medication is used for hypertension
levonorg-eth estrad triphasic,which medication is used for endometriosis
chlorpheniram-dm-acetaminophen,which medication is used for fever
metoprolol ta-hydrochlorothiaz,which medication is used for hypertension
"phenylephrine-zinc oxide, phenylephrn-pramoxine-mo-w.pet",which medication is used for hemorrhoids
mefenamic acid,which medication is used for gout
fluocinonide,which medication is used for atopic dermatitis
edema,what is the uses of Torsemide
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin In 5 % Dextrose
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin Stearate
pyelonephritis,what is the uses of Levofloxacin
gastroesophageal reflux disease,what is the uses of Omeprazole Magnesium
"choline,magnesium salicylate",which medication is used for fever
minocycline,which medication is used for bacterial urinary tract infection
vulvovaginal candidiasis,what is the uses of Miconazole-Skin Clnsr17
"acetaminophen-pamabrom, ibuprofen",which medication is used for gout
ampicillin-sulbactam,which medication is used for diverticulitis of gastrointestinal tract
edema,what is the uses of Acetazolamide
gastroesophageal reflux disease,what is the uses of Cimetidine Hcl
fever,what is the uses of Aspirin-Acetaminophen-Caffeine
