Condition,Drug
Acute Bacterial Sinusitis,what is the uses of Amoxicillin
Acute Bacterial Sinusitis,what is the uses of Amoxicillin-Pot Clavulanate
Acute Bacterial Sinusitis,what is the uses of Amoxicillin-Pot Clavulanate
Acute Bacterial Sinusitis,what is the uses of Ampicillin
Acute Bacterial Sinusitis,what is the uses of Ampicillin
Acute Bacterial Sinusitis,what is the uses of Ampicillin Sodium
Acute Bacterial Sinusitis,what is the uses of Azithromycin
Acute Bacterial Sinusitis,what is the uses of Clarithromycin
Acute Bacterial Sinusitis,what is the uses of Erythromycin
Acute Bacterial Sinusitis,what is the uses of Erythromycin Ethylsuccinate
Acute Bacterial Sinusitis,what is the uses of Erythromycin Stearate
Acute Bacterial Sinusitis,what is the uses of Levofloxacin
Acute Bacterial Sinusitis,what is the uses of Moxifloxacin
Acute Bacterial Sinusitis,what is the uses of Moxifloxacin-Sod.Chloride(Iso)
Atopic Dermatitis,what is the uses of Alclometasone
Atopic Dermatitis,what is the uses of Amcinonide
Atopic Dermatitis,"what is the uses of Betamethasone Acet,Sod Phos"
Atopic Dermatitis,what is the uses of Betamethasone Dipropionate
Atopic Dermatitis,what is the uses of Betamethasone Valerate
Atopic Dermatitis,"what is the uses of Betamethasone, Augmented"
Atopic Dermatitis,"what is the uses of Betamethasone, Augmented, Betamethasone Dipropionate"
Atopic Dermatitis,what is the uses of Cetirizine
Atopic Dermatitis,what is the uses of Cetirizine
Atopic Dermatitis,what is the uses of Clobetasol
Atopic Dermatitis,what is the uses of Clobetasol-Emollient
Atopic Dermatitis,what is the uses of Cortisone
Atopic Dermatitis,what is the uses of Desonide
Atopic Dermatitis,what is the uses of Desonide-Emollient Combo No 28
Atopic Dermatitis,"what is the uses of Desonide-Emollient Combo No 28, Desonide"
Atopic Dermatitis,what is the uses of Desoximetasone
Atopic Dermatitis,what is the uses of Dexamethasone
Atopic Dermatitis,what is the uses of Dexamethasone Sodium Phos (PF)
Atopic Dermatitis,what is the uses of Dexamethasone Sodium Phosphate
Atopic Dermatitis,what is the uses of Diflorasone
Atopic Dermatitis,what is the uses of Diflorasone-Emollient
Atopic Dermatitis,what is the uses of Doxepin
Atopic Dermatitis,what is the uses of Fluocinolone
Atopic Dermatitis,what is the uses of Fluocinolone And Shower Cap
Atopic Dermatitis,what is the uses of Fluocinolone-Emol Cmb#65
Atopic Dermatitis,what is the uses of Fluocinolone-Skin Clnsr28
Atopic Dermatitis,what is the uses of Fluocinonide
Atopic Dermatitis,what is the uses of Fluocinonide
Atopic Dermatitis,what is the uses of Fluocinonide
Atopic Dermatitis,what is the uses of Fluocinonide-Emollient
Atopic Dermatitis,what is the uses of Flurandrenolide
Atopic Dermatitis,what is the uses of Fluticasone Propionate
Atopic Dermatitis,what is the uses of Halobetasol Propionate
Atopic Dermatitis,what is the uses of Hydrocortisone
Atopic Dermatitis,what is the uses of Hydrocortisone
Atopic Dermatitis,what is the uses of Hydrocortisone
Atopic Dermatitis,what is the uses of Hydrocortisone Acetate
Atopic Dermatitis,what is the uses of Hydrocortisone Acetate
Atopic Dermatitis,what is the uses of Hydrocortisone Butyr-Emollient
Atopic Dermatitis,what is the uses of Hydrocortisone Butyrate
Atopic Dermatitis,what is the uses of Hydrocortisone Probutate
Atopic Dermatitis,what is the uses of Hydrocortisone Sod Succ (PF)
Atopic Dermatitis,what is the uses of Hydrocortisone Sod Succinate
Atopic Dermatitis,what is the uses of Hydrocortisone Valerate
Atopic Dermatitis,"what is the uses of Hydrocortisone, Pramoxine-Benzyl Alcohol"
Atopic Dermatitis,what is the uses of Hydrocortisone-Iodoquinl-Aloe2
Atopic Dermatitis,what is the uses of Hydrocortisone-Iodoquinol
Atopic Dermatitis,what is the uses of Hydrocortisone-Oatmeal-Aloe-E
Atopic Dermatitis,"what is the uses of Hydrocortisone-Pramoxine, Hydrocortisone"
Atopic Dermatitis,what is the uses of Methylprednisolone
Atopic Dermatitis,what is the uses of Methylprednisolone Acetate
Atopic Dermatitis,what is the uses of Mometasone
Atopic Dermatitis,what is the uses of Pimecrolimus
Atopic Dermatitis,what is the uses of Prednicarbate
Atopic Dermatitis,what is the uses of Prednisolone
Atopic Dermatitis,what is the uses of Prednisolone Sodium Phosphate
Atopic Dermatitis,"what is the uses of Prednisolone, Prednisolone Sodium Phosphate"
Atopic Dermatitis,what is the uses of Prednisone
Atopic Dermatitis,what is the uses of Prednisone
Atopic Dermatitis,"what is the uses of Salicylic Acid, Hydrocortisone"
Atopic Dermatitis,what is the uses of Tacrolimus
Atopic Dermatitis,what is the uses of Triamcinolone Acetonide
Atopic Dermatitis,what is the uses of Triamcinolone Acetonide
Atopic Dermatitis,what is the uses of Triamcinolone-Emollient Comb86
Atopic Dermatitis,what is the uses of Vit E-Glycerin-Dimethicone
Atopic Dermatitis,"what is the uses of Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh"
Atopic Dermatitis,what is the uses of Vit E-Grape-Hyaluronate Sodium
Bacterial Conjunctivitis,what is the uses of Azithromycin
Bacterial Conjunctivitis,what is the uses of Bacitracin
Bacterial Conjunctivitis,what is the uses of Bacitracin-Polymyxin B
Bacterial Conjunctivitis,what is the uses of Besifloxacin
Bacterial Conjunctivitis,what is the uses of Ciprofloxacin Hcl
Bacterial Conjunctivitis,what is the uses of Erythromycin
Bacterial Conjunctivitis,what is the uses of Gatifloxacin
Bacterial Conjunctivitis,what is the uses of Gentamicin
Bacterial Conjunctivitis,what is the uses of Gentamicin-Prednisolone
Bacterial Conjunctivitis,what is the uses of Levofloxacin
Bacterial Conjunctivitis,what is the uses of Moxifloxacin
Bacterial Conjunctivitis,what is the uses of Neomycin-Bacitracin-Polymyxin
Bacterial Conjunctivitis,what is the uses of Neomycin-Polymyxin-Gramicidin
Bacterial Conjunctivitis,what is the uses of Ofloxacin
Bacterial Conjunctivitis,what is the uses of Sulfacetamide Sodium
Bacterial Conjunctivitis,what is the uses of Sulfacetamide-Prednisolone
Bacterial Urinary Tract Infection,what is the uses of Acetohydroxamic Acid
Bacterial Urinary Tract Infection,what is the uses of Amikacin
Bacterial Urinary Tract Infection,what is the uses of Amoxicillin-Pot Clavulanate
Bacterial Urinary Tract Infection,what is the uses of Amoxicillin-Pot Clavulanate
Bacterial Urinary Tract Infection,what is the uses of Ampicillin
Bacterial Urinary Tract Infection,what is the uses of Ampicillin
Bacterial Urinary Tract Infection,what is the uses of Ampicillin Sodium
Bacterial Urinary Tract Infection,what is the uses of Ampicillin Sodium
Bacterial Urinary Tract Infection,what is the uses of Aztreonam
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,what is the uses of Cefadroxil
Bacterial Urinary Tract Infection,what is the uses of Cefazolin
Bacterial Urinary Tract Infection,what is the uses of Cefazolin In Dextrose (Iso-Os)
Bacterial Urinary Tract Infection,what is the uses of Cefdinir
Bacterial Urinary Tract Infection,what is the uses of Cefepime
Bacterial Urinary Tract Infection,what is the uses of Cefepime
Bacterial Urinary Tract Infection,"what is the uses of Cefepime In Dextrose,Iso-Osm"
Bacterial Urinary Tract Infection,what is the uses of Cefixime
Bacterial Urinary Tract Infection,what is the uses of Cefixime
Bacterial Urinary Tract Infection,what is the uses of Ceftazidime
Bacterial Urinary Tract Infection,what is the uses of Ceftriaxone
Bacterial Urinary Tract Infection,"what is the uses of Ceftriaxone In Dextrose,Iso-Os"
Bacterial Urinary Tract Infection,what is the uses of Cefuroxime Axetil
Bacterial Urinary Tract Infection,what is the uses of Cefuroxime Sodium
Bacterial Urinary Tract Infection,what is the uses of Cephalexin
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin Hcl
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin Hcl
Bacterial Urinary Tract Infection,"what is the uses of Ciprofloxacin Hcl, Ciprofloxacin"
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin In 5 % Dextrose
Bacterial Urinary Tract Infection,what is the uses of Demeclocycline
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Calcium
Bacterial Urinary Tract Infection,"what is the uses of Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate"
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Hyclate
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Monohydrate
Bacterial Urinary Tract Infection,what is the uses of Fosfomycin Tromethamine
Bacterial Urinary Tract Infection,what is the uses of Fosfomycin Tromethamine
Bacterial Urinary Tract Infection,what is the uses of Imipenem-Cilastatin
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin In D5W
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin In D5W
Bacterial Urinary Tract Infection,what is the uses of Minocycline
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin Macrocrystal
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin Monohyd/M-Cryst
Bacterial Urinary Tract Infection,what is the uses of Ofloxacin
Bacterial Urinary Tract Infection,what is the uses of Streptomycin
Bacterial Urinary Tract Infection,what is the uses of Sulfadiazine
Bacterial Urinary Tract Infection,what is the uses of Sulfamethoxazole-Trimethoprim
Bacterial Urinary Tract Infection,what is the uses of Trimethoprim
Bacterial Urinary Tract Infection,what is the uses of Trimethoprim
Infantile Autism,what is the uses of Aripiprazole
Infantile Autism,what is the uses of Paliperidone
Infantile Autism,what is the uses of Risperidone
Influenza,what is the uses of Oseltamivir
Influenza,what is the uses of Zanamivir
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Amoxicillin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Azithromycin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefaclor
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefadroxil
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefdinir
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefditoren Pivoxil
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefixime
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefixime
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefpodoxime
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefprozil
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefuroxime Axetil
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cephalexin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Clarithromycin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin Ethylsuccinate
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin Stearate
Pharyngitis due to Streptococcus Pyogenes,"what is the uses of Penicillin G Benzathin,Procain"
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Penicillin G Benzathine
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Penicillin V Potassium
Sleepiness Due To Obstructive Sleep Apnea,what is the uses of Armodafinil
Sleepiness Due To Obstructive Sleep Apnea,what is the uses of Modafinil
adenocarcinoma of pancreas,what is the uses of Capecitabine
adenocarcinoma of pancreas,what is the uses of Cisplatin
adenocarcinoma of pancreas,what is the uses of Doxorubicin
adenocarcinoma of pancreas,what is the uses of Fluorouracil
adenocarcinoma of pancreas,what is the uses of Gemcitabine
adenocarcinoma of pancreas,what is the uses of Mitomycin
adenocarcinoma of pancreas,what is the uses of Oxaliplatin
adenocarcinoma of pancreas,what is the uses of Paclitaxel-Protein Bound
back pain,"what is the uses of ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf"
back pain,what is the uses of Acetaminophen
back pain,what is the uses of Aspirin-Acetaminophen-Caffeine
back pain,what is the uses of Capsaicin
back pain,what is the uses of Capsaicin In Castor Oil
back pain,what is the uses of Capsaicin-Camphor-Menthol
back pain,"what is the uses of Capsaicin-Menthol, Capsaicin"
back pain,what is the uses of Capsaicin-Methyl Sal-Menthol
back pain,what is the uses of Capsaicin-Methyl Sal-Menthol
back pain,"what is the uses of Cpm-PPA-DM-Acetaminophen, Acetaminophen"
back pain,what is the uses of Menthol
back pain,"what is the uses of Menthol, Camphor-Methyl Salicyl-Menthol"
back pain,"what is the uses of Menthol, Capsaicin"
back pain,"what is the uses of Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol"
back pain,what is the uses of Trolamine Salicylate
back pain,"what is the uses of Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil"
back pain,what is the uses of Trolamine Salicylate-Aloe Vera
biliary calculus,what is the uses of Ursodiol
biliary calculus,what is the uses of Ursodiol
chickenpox,what is the uses of Acyclovir
chickenpox,what is the uses of Acyclovir Sodium
chickenpox,what is the uses of Valacyclovir
colorectal cancer,what is the uses of Fluorouracil
depression,what is the uses of Amitriptyline
depression,what is the uses of Amitriptyline
depression,what is the uses of Amoxapine
depression,what is the uses of Clomipramine
depression,what is the uses of Desipramine
depression,what is the uses of Doxepin
depression,what is the uses of Fluvoxamine
depression,what is the uses of Imipramine Hcl
depression,what is the uses of Imipramine Pamoate
depression,what is the uses of Maprotiline
depression,what is the uses of Nortriptyline
depression,what is the uses of Nortriptyline
depression,what is the uses of Nortriptyline
depression,what is the uses of Phenelzine
depression,what is the uses of Protriptyline
diverticulitis of gastrointestinal tract,what is the uses of Amikacin
diverticulitis of gastrointestinal tract,what is the uses of Amoxicillin-Pot Clavulanate
diverticulitis of gastrointestinal tract,what is the uses of Ampicillin-Sulbactam
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin Hcl
diverticulitis of gastrointestinal tract,"what is the uses of Ciprofloxacin Hcl, Ciprofloxacin"
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin In 5 % Dextrose
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin In 5 % Dextrose
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin Phosphate
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin Phosphate
diverticulitis of gastrointestinal tract,what is the uses of Meropenem
diverticulitis of gastrointestinal tract,what is the uses of Metronidazole
diverticulitis of gastrointestinal tract,what is the uses of Metronidazole In Nacl (Iso-Os)
diverticulitis of gastrointestinal tract,what is the uses of Piperacillin-Tazobactam
diverticulitis of gastrointestinal tract,what is the uses of Sulfamethoxazole-Trimethoprim
diverticulitis of gastrointestinal tract,what is the uses of Tigecycline
edema,what is the uses of Acetazolamide
edema,what is the uses of Amiloride-Hydrochlorothiazide
edema,what is the uses of Bumetanide
edema,what is the uses of Chlorothiazide
edema,what is the uses of Chlorthalidone
edema,what is the uses of Ethacrynic Acid
edema,what is the uses of Furosemide
edema,what is the uses of Hydrochlorothiazide
edema,what is the uses of Indapamide
edema,what is the uses of Spironolacton-Hydrochlorothiaz
edema,what is the uses of Spironolactone
edema,what is the uses of Torsemide
edema,what is the uses of Triamterene
edema,what is the uses of Triamterene-Hydrochlorothiazid
edema,"what is the uses of Triamterene-Hydrochlorothiazid, Trichlormethiazide"
endometriosis,what is the uses of Danazol
endometriosis,what is the uses of Goserelin
endometriosis,what is the uses of L Norgest/E.Estradiol-E.Estrad
endometriosis,what is the uses of Levonorg-Eth Estrad Triphasic
endometriosis,what is the uses of Levonorgestrel-Ethinyl Estrad
endometriosis,what is the uses of Medroxyprogesterone
endometriosis,what is the uses of Medroxyprogesterone
endometriosis,what is the uses of Nafarelin
endometriosis,what is the uses of Noreth-Ethinyl Estradiol-Iron
endometriosis,what is the uses of Norethin-E.Estradiol Triphasic
endometriosis,"what is the uses of Norethin-E.Estradiol Triphasic, Norethindrone-Ethin Estradiol"
endometriosis,what is the uses of Norethin-Eth Estrad Biphasic
endometriosis,what is the uses of Norethindrone Ac-Eth Estradiol
endometriosis,what is the uses of Norethindrone Acetate
endometriosis,what is the uses of Norethindrone-E.Estradiol-Iron
endometriosis,what is the uses of Norethindrone-Ethin Estradiol
endometriosis,what is the uses of Norgestimate-Ethinyl Estradiol
endometriosis,what is the uses of Norgestrel-Ethinyl Estradiol
endometriosis,what is the uses of Triptorelin Pamoate
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
fever,"what is the uses of ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf"
fever,what is the uses of Acetaminophen
fever,what is the uses of Acetaminophen
fever,what is the uses of Acetaminophen-Caffeine
fever,what is the uses of Acetaminophen-DM
fever,"what is the uses of Acetaminophen-Pamabrom, Ibuprofen"
fever,what is the uses of Aspirin
fever,what is the uses of Aspirin
fever,what is the uses of Aspirin
fever,"what is the uses of Aspirin, Buffered"
fever,what is the uses of Aspirin-Acetaminophen-Caffeine
fever,"what is the uses of Aspirin-Acetaminophen-Caffeine, Aspirin, Phenyltoloxamine-Acetaminophen"
fever,what is the uses of Aspirin-Calcium Carbonate
fever,"what is the uses of Chlorphen-PE-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
fever,"what is the uses of Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
fever,what is the uses of Chlorpheniram-DM-Acetaminophen
fever,what is the uses of Chlorpheniram-DM-Acetaminophen
fever,what is the uses of Chlorpheniramine-Acetaminophen
fever,"what is the uses of Chlorpheniramine-Acetaminophen, Chlorphen-PPA-Acetaminophen"
fever,"what is the uses of Choline,Magnesium Salicylate"
fever,what is the uses of Cpm-PPA-DM-Acetaminophen
fever,"what is the uses of Cpm-PPA-DM-Acetaminophen, Acetaminophen"
fever,what is the uses of Cpm-Pseudoeph-DM-Acetaminophen
fever,what is the uses of DM-PE-Acetam/DM-Acetam-Doxylam
fever,"what is the uses of Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen"
fever,what is the uses of Doxylam-PE-DM-Acetaminophen-GG
fever,what is the uses of Doxylamin-PSE-DM-Acetaminophen
fever,"what is the uses of Doxylamin-PSE-DM-Acetaminophen, Chlorphen-PE-DM-Acetaminophen"
fever,what is the uses of Doxylamine-DM-Acetaminophen
fever,what is the uses of Doxylamine-PE-DM-Acetaminophen
fever,"what is the uses of Doxylamine-PE-DM-Acetaminophen, Diphenhydramine-PPA-ASA"
fever,what is the uses of Ibuprofen
fever,what is the uses of Ibuprofen
fever,what is the uses of Ibuprofen
fever,what is the uses of Indomethacin
fever,what is the uses of Naproxen
fever,what is the uses of Naproxen
fever,what is the uses of Naproxen Sodium
fever,what is the uses of Naproxen Sodium
fever,what is the uses of Naproxen Sodium
fever,what is the uses of Naproxen-Pseudoephedrine
fever,what is the uses of Phenyleph-DM-Acetamin-Guaifen
fever,what is the uses of Phenylephrine-DM-Acetaminophen
fever,what is the uses of Phenylephrine-DM-Acetaminophen
fever,what is the uses of Phenylephrine-DM-Acetaminophen
fever,what is the uses of Phenyltoloxamine-Acetaminophen
fever,what is the uses of Phenyltoloxamine-Acetaminophen
fever,what is the uses of Phenyltoloxamine-Acetaminophen
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
fever,"what is the uses of Pseudoeph-DM-GG-Acetaminophen, Chlorphen-PE-DM-Acetaminophen"
fever,"what is the uses of Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
fever,what is the uses of Pseudoephed-DM-Acetaminophen
fever,what is the uses of Pseudoephed-DM-Acetaminophen
fever,what is the uses of Pseudoephed-DM-Acetaminophen
fever,"what is the uses of Pseudoephed-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
fever,"what is the uses of Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed"
fever,what is the uses of Pseudoephedrine-Ibuprofen
fever,"what is the uses of Pseudoephedrine-Ibuprofen, Brompheniram-PSE-Acetaminophen"
