Condition,Drug
fever,"what is the uses of Pseudoephedrine-Ibuprofen, Ibuprofen"
fibromyalgia,what is the uses of Amitriptyline
fibromyalgia,what is the uses of Amitriptyline
fibromyalgia,what is the uses of Cyclobenzaprine
fibromyalgia,what is the uses of Duloxetine
fibromyalgia,what is the uses of Duloxetine
fibromyalgia,what is the uses of Milnacipran
fibromyalgia,what is the uses of Mirtazapine
fibromyalgia,what is the uses of Paroxetine Hcl
fibromyalgia,what is the uses of Pramipexole
fibromyalgia,what is the uses of Pramipexole
fibromyalgia,what is the uses of Pregabalin
fibromyalgia,what is the uses of Tramadol-Acetaminophen
flatulence,"what is the uses of Activated Charcoal-Simethicone, Simethicone"
flatulence,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
flatulence,what is the uses of Alum-Mag Hydroxide-Simeth
flatulence,"what is the uses of Alum-Mag Hydroxide-Simeth, Calcium Carbonate-Simethicone"
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth"
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
flatulence,"what is the uses of Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth"
flatulence,"what is the uses of Calcium Carb-Mag Hydrox-Simeth, Alum-Mag Hydroxide-Simeth"
flatulence,what is the uses of Calcium Carbonate-Mag Hydroxid
flatulence,"what is the uses of Calcium Carbonate-Mag Hydroxid, Alum-Mag Hydroxide-Simeth"
flatulence,what is the uses of Calcium Carbonate-Simethicone
flatulence,what is the uses of Simethicone
flatulence,"what is the uses of Simethicone, Alpha-D-Galactosidase"
furunculosis,what is the uses of Gentamicin
furunculosis,what is the uses of Mupirocin
furunculosis,what is the uses of Mupirocin
furunculosis,"what is the uses of Mupirocin Calcium, Mupirocin"
gastroesophageal reflux disease,what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate"
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate, Calcium Carbonate"
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Magaldrate, Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Aluminum Hydrox-Magnesium Carb, Calcium And Magnesium Carbonat, Aluminum-Magnesium-Alginate, Calcium Carbonate, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,what is the uses of Alum-Mag Hydroxide-Simeth
gastroesophageal reflux disease,what is the uses of Aluminum Hydrox-Magnesium Carb
gastroesophageal reflux disease,what is the uses of Aluminum Hydroxide Gel
gastroesophageal reflux disease,what is the uses of Aluminum-Magnesium Hydroxide
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth"
gastroesophageal reflux disease,"what is the uses of Calcium Carbonate-Mag Hydroxid, Calcium Carbonate, Dihydroxyaluminum Sod Carb"
gastroesophageal reflux disease,"what is the uses of Calcium Carbonate-Mag Hydroxid, Dihydroxyaluminum Sod Carb"
gastroesophageal reflux disease,what is the uses of Cimetidine
gastroesophageal reflux disease,what is the uses of Cimetidine Hcl
gastroesophageal reflux disease,what is the uses of Dexlansoprazole
gastroesophageal reflux disease,what is the uses of Erythromycin
gastroesophageal reflux disease,what is the uses of Erythromycin Ethylsuccinate
gastroesophageal reflux disease,what is the uses of Erythromycin Stearate
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
gastroesophageal reflux disease,what is the uses of Esomeprazole Strontium
gastroesophageal reflux disease,what is the uses of Famotidine
gastroesophageal reflux disease,what is the uses of Famotidine
gastroesophageal reflux disease,what is the uses of Famotidine
gastroesophageal reflux disease,what is the uses of Famotidine-Ca Carb-Mag Hydrox
gastroesophageal reflux disease,what is the uses of Lansoprazole
gastroesophageal reflux disease,what is the uses of Lansoprazole
gastroesophageal reflux disease,what is the uses of Lansoprazole
gastroesophageal reflux disease,what is the uses of Magaldrate
gastroesophageal reflux disease,what is the uses of Magnesium Hydroxide
gastroesophageal reflux disease,what is the uses of Magnesium Hydroxide
gastroesophageal reflux disease,what is the uses of Magnesium Oxide
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
gastroesophageal reflux disease,what is the uses of Nizatidine
gastroesophageal reflux disease,what is the uses of Omeprazole
gastroesophageal reflux disease,what is the uses of Omeprazole Magnesium
gastroesophageal reflux disease,what is the uses of Omeprazole Magnesium
gastroesophageal reflux disease,"what is the uses of Omeprazole, Omeprazole Magnesium"
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
gastroesophageal reflux disease,what is the uses of Pantoprazole
gastroesophageal reflux disease,what is the uses of Pantoprazole
gastroesophageal reflux disease,what is the uses of Rabeprazole
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
gastroesophageal reflux disease,what is the uses of Sucralfate
genital herpes simplex,what is the uses of Acyclovir
genital herpes simplex,what is the uses of Acyclovir Sodium
genital herpes simplex,what is the uses of Acyclovir-Hydrocortisone
genital herpes simplex,what is the uses of Valacyclovir
gout,"what is the uses of Acetaminophen-Pamabrom, Ibuprofen"
gout,what is the uses of Celecoxib
gout,what is the uses of Diclofenac Potassium
gout,what is the uses of Diclofenac Potassium
gout,what is the uses of Diclofenac Sodium
gout,what is the uses of Diclofenac Sodium
gout,what is the uses of Diclofenac-Misoprostol
gout,what is the uses of Diflunisal
gout,what is the uses of Etodolac
gout,what is the uses of Fenoprofen
gout,what is the uses of Flurbiprofen
gout,what is the uses of Ibuprofen
gout,what is the uses of Ibuprofen
gout,what is the uses of Ibuprofen
gout,what is the uses of Ibuprofen-Famotidine
gout,what is the uses of Indomethacin
gout,what is the uses of Ketoprofen
gout,what is the uses of Ketoprofen
gout,what is the uses of Meclofenamate
gout,what is the uses of Mefenamic Acid
gout,what is the uses of Meloxicam
gout,what is the uses of Naproxen
gout,what is the uses of Naproxen
gout,what is the uses of Naproxen Sodium
gout,what is the uses of Naproxen Sodium
gout,what is the uses of Naproxen Sodium
gout,what is the uses of Naproxen Sodium
gout,what is the uses of Oxaprozin
gout,what is the uses of Piroxicam
gout,"what is the uses of Pseudoephedrine-Ibuprofen, Ibuprofen"
gout,what is the uses of Tolmetin
hemorrhoids,"what is the uses of Bismuth Subg-Balsam-Znox-Resor, Starch, Pramoxine-Mineral Oil-Zinc"
hemorrhoids,"what is the uses of Cocoa Butter-Zinc Oxide, Zinc Oxide"
hemorrhoids,"what is the uses of Diphenhydramine-Calamine, Pramoxine-Calamine"
hemorrhoids,what is the uses of Hydrocortisone
hemorrhoids,what is the uses of Hydrocortisone
hemorrhoids,what is the uses of Hydrocortisone
hemorrhoids,what is the uses of Hydrocortisone
hemorrhoids,what is the uses of Hydrocortisone Acetate
hemorrhoids,what is the uses of Hydrocortisone Acetate
hemorrhoids,what is the uses of Hydrocortisone Acetate
hemorrhoids,"what is the uses of Hydrocortisone Acetate, Bismuth Subg-Balsam-Znox-Resor"
hemorrhoids,"what is the uses of Hydrocortisone Acetate, Hydrocortison-Resor-Bismth-Zno, Hydrocortisone"
hemorrhoids,what is the uses of Lidocaine
hemorrhoids,what is the uses of Lidocaine
hemorrhoids,what is the uses of Lidocaine-Hydrocortisone-Aloe
hemorrhoids,what is the uses of Phenyleph-Min Oil-Petrolatum
hemorrhoids,what is the uses of Phenyleph-Pramoxin-Glycr-W.Pet
hemorrhoids,"what is the uses of Phenyleph-Shark Oil-Cocoa Butr, Skin Rsp Ftr-Srk Liv-Phenylmer, Phenyleph-Shark Liv Oil-Mo-Pet"
hemorrhoids,"what is the uses of Phenyleph-Shark Oil-Glyc-Pet, Phenyleph-Min Oil-Petrolatum, Cocoa Butter-Shark Liver Oil"
hemorrhoids,what is the uses of Phenylephrine Hcl
hemorrhoids,"what is the uses of Phenylephrine Hcl, Bismuth Subg-Balsam-Znox-Resor"
hemorrhoids,what is the uses of Phenylephrine-Cocoa Butter
hemorrhoids,what is the uses of Phenylephrine-Witch Hazel
hemorrhoids,"what is the uses of Phenylephrine-Zinc Oxide, Phenylephrn-Pramoxine-Mo-W.Pet"
hemorrhoids,what is the uses of Pramoxine
hemorrhoids,what is the uses of Pramoxine-Calamine
hemorrhoids,"what is the uses of Pramoxine-Calamine-Camphor, Pramoxine-Calamine"
hemorrhoids,what is the uses of Pramoxine-Zinc Acetate
hemorrhoids,what is the uses of Pramoxine-Zinc Oxide
hemorrhoids,"what is the uses of Starch, Pramoxine-Mineral Oil-Zinc"
hemorrhoids,what is the uses of Zinc Oxide
herpes zoster,what is the uses of Acyclovir
herpes zoster,what is the uses of Acyclovir Sodium
herpes zoster,what is the uses of Famciclovir
herpes zoster,what is the uses of Valacyclovir
hypercholesterolemia,what is the uses of Alirocumab
hypercholesterolemia,what is the uses of Amlodipine-Atorvastatin
hypercholesterolemia,what is the uses of Atorvastatin
hypercholesterolemia,what is the uses of Cholestyramine (With Sugar)
hypercholesterolemia,what is the uses of Cholestyramine-Aspartame
hypercholesterolemia,what is the uses of Colestipol
hypercholesterolemia,what is the uses of Evolocumab
hypercholesterolemia,what is the uses of Ezetimibe
hypercholesterolemia,what is the uses of Ezetimibe-Simvastatin
hypercholesterolemia,what is the uses of Fenofibrate
hypercholesterolemia,what is the uses of Fenofibrate Micronized
hypercholesterolemia,"what is the uses of Fenofibrate Micronized, Fenofibrate"
hypercholesterolemia,"what is the uses of Fenofibrate Micronized, Fenofibrate Nanocrystallized"
hypercholesterolemia,what is the uses of Fenofibrate Nanocrystallized
hypercholesterolemia,what is the uses of Fenofibric Acid
hypercholesterolemia,what is the uses of Fenofibric Acid (Choline)
hypercholesterolemia,what is the uses of Fluvastatin
hypercholesterolemia,what is the uses of Fluvastatin
hypercholesterolemia,what is the uses of Lovastatin
hypercholesterolemia,what is the uses of Lovastatin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Niacin
hypercholesterolemia,what is the uses of Pitavastatin Calcium
hypercholesterolemia,what is the uses of Pravastatin
hypercholesterolemia,what is the uses of Rosuvastatin
hypercholesterolemia,what is the uses of Simvastatin
hypertension,what is the uses of Acebutolol
hypertension,what is the uses of Aliskiren
hypertension,what is the uses of Amiloride-Hydrochlorothiazide
hypertension,what is the uses of Amlodipine
hypertension,what is the uses of Amlodipine-Atorvastatin
hypertension,what is the uses of Amlodipine-Benazepril
hypertension,what is the uses of Amlodipine-Olmesartan
hypertension,what is the uses of Amlodipine-Valsartan
hypertension,what is the uses of Amlodipine-Valsartan-Hcthiazid
hypertension,what is the uses of Atenolol
hypertension,what is the uses of Atenolol-Chlorthalidone
hypertension,what is the uses of Azilsartan Med-Chlorthalidone
hypertension,what is the uses of Azilsartan Medoxomil
hypertension,what is the uses of Benazepril
hypertension,what is the uses of Benazepril
hypertension,what is the uses of Benazepril-Hydrochlorothiazide
hypertension,what is the uses of Betaxolol
hypertension,what is the uses of Bisoprolol Fumarate
hypertension,what is the uses of Bisoprolol-Hydrochlorothiazide
hypertension,what is the uses of Bumetanide
hypertension,what is the uses of Candesartan
hypertension,what is the uses of Candesartan-Hydrochlorothiazid
hypertension,what is the uses of Captopril
hypertension,what is the uses of Captopril-Hydrochlorothiazide
hypertension,what is the uses of Carvedilol
hypertension,what is the uses of Carvedilol Phosphate
hypertension,what is the uses of Chlorothiazide
hypertension,what is the uses of Chlorthalidone
hypertension,what is the uses of Clonidine
hypertension,what is the uses of Clonidine Hcl
hypertension,what is the uses of Clonidine Hcl
hypertension,what is the uses of Diltiazem Hcl
hypertension,what is the uses of Diltiazem Hcl
hypertension,what is the uses of Diltiazem Hcl
hypertension,what is the uses of Doxazosin
hypertension,what is the uses of Doxazosin
hypertension,what is the uses of Enalapril Maleate
hypertension,what is the uses of Enalapril-Hydrochlorothiazide
hypertension,what is the uses of Eplerenone
hypertension,what is the uses of Eprosartan
hypertension,what is the uses of Ethacrynic Acid
hypertension,what is the uses of Felodipine
hypertension,what is the uses of Fosinopril
hypertension,what is the uses of Fosinopril-Hydrochlorothiazide
hypertension,what is the uses of Furosemide
hypertension,what is the uses of Guanfacine
hypertension,what is the uses of Hydralazine
hypertension,what is the uses of Hydralazine
hypertension,what is the uses of Hydrochlorothiazide
hypertension,what is the uses of Indapamide
hypertension,what is the uses of Irbesartan-Hydrochlorothiazide
hypertension,what is the uses of Isradipine
hypertension,what is the uses of Labetalol
hypertension,what is the uses of Lisinopril
hypertension,what is the uses of Lisinopril-Hydrochlorothiazide
hypertension,what is the uses of Losartan
hypertension,what is the uses of Losartan-Hydrochlorothiazide
hypertension,what is the uses of Methyldopa
hypertension,what is the uses of Methyldopa-Hydrochlorothiazide
hypertension,what is the uses of Metolazone
hypertension,what is the uses of Metoprolol Su-Hydrochlorothiaz
hypertension,what is the uses of Metoprolol Succinate
hypertension,what is the uses of Metoprolol Ta-Hydrochlorothiaz
hypertension,what is the uses of Metoprolol Tartrate
hypertension,what is the uses of Minoxidil
hypertension,what is the uses of Moexipril
hypertension,what is the uses of Nadolol
hypertension,what is the uses of Nebivolol
hypertension,what is the uses of Nicardipine
hypertension,what is the uses of Nicardipine
hypertension,what is the uses of Nifedipine
hypertension,what is the uses of Nisoldipine
hypertension,what is the uses of Olmesartan
hypertension,what is the uses of Olmesartan-Amlodipin-Hcthiazid
hypertension,what is the uses of Perindopril Erbumine
hypertension,what is the uses of Perindopril-Amlodipine
hypertension,what is the uses of Pindolol
hypertension,what is the uses of Prazosin
hypertension,what is the uses of Propranolol
hypertension,what is the uses of Propranolol-Hydrochlorothiazid
hypertension,what is the uses of Quinapril
hypertension,what is the uses of Quinapril-Hydrochlorothiazide
hypertension,what is the uses of Ramipril
hypertension,what is the uses of Spironolacton-Hydrochlorothiaz
hypertension,what is the uses of Spironolactone
hypertension,what is the uses of Telmisartan
hypertension,what is the uses of Telmisartan-Amlodipine
hypertension,what is the uses of Telmisartan-Hydrochlorothiazid
hypertension,what is the uses of Terazosin
hypertension,what is the uses of Timolol Maleate
hypertension,what is the uses of Torsemide
hypertension,what is the uses of Trandolapril
hypertension,what is the uses of Trandolapril-Verapamil
hypertension,what is the uses of Triamterene
hypertension,what is the uses of Triamterene-Hydrochlorothiazid
hypertension,"what is the uses of Triamterene-Hydrochlorothiazid, Trichlormethiazide"
hypertension,what is the uses of Valsartan
hypertension,what is the uses of Valsartan-Hydrochlorothiazide
hypertension,what is the uses of Verapamil
hypertension,what is the uses of Verapamil
hypertension,what is the uses of Verapamil
impetigo,what is the uses of Cefuroxime Axetil
impetigo,what is the uses of Mupirocin
impetigo,what is the uses of Mupirocin
impetigo,"what is the uses of Mupirocin Calcium, Mupirocin"
impetigo,what is the uses of Retapamulin
meniere's disease,what is the uses of Dimenhydrinate
meniere's disease,what is the uses of Dimenhydrinate
oral candidiasis,what is the uses of Clotrimazole
oral candidiasis,what is the uses of Fluconazole
oral candidiasis,what is the uses of Nystatin
prevention of cerebrovascular accident,what is the uses of Amlodipine-Atorvastatin
prevention of cerebrovascular accident,what is the uses of Aspirin
prevention of cerebrovascular accident,what is the uses of Aspirin
prevention of cerebrovascular accident,what is the uses of Atorvastatin
prevention of cerebrovascular accident,what is the uses of Evolocumab
prevention of cerebrovascular accident,what is the uses of Fluvastatin
prevention of cerebrovascular accident,what is the uses of Fluvastatin
prevention of cerebrovascular accident,what is the uses of Lovastatin
prevention of cerebrovascular accident,what is the uses of Pravastatin
prevention of cerebrovascular accident,what is the uses of Pravastatin
prevention of cerebrovascular accident,what is the uses of Ramipril
prevention of cerebrovascular accident,what is the uses of Rosuvastatin
prevention of cerebrovascular accident,what is the uses of Simvastatin
prevention of cerebrovascular accident,what is the uses of Telmisartan
pyelonephritis,what is the uses of Levofloxacin
pyelonephritis,what is the uses of Levofloxacin In D5W
scabies,what is the uses of Crotamiton
scabies,what is the uses of Lindane
scabies,what is the uses of Permethrin
scabies,what is the uses of Permethrin
sore throat,what is the uses of Acetaminophen-DM
sore throat,what is the uses of Benzocaine
sore throat,what is the uses of Chlorpheniram-DM-Acetaminophen
sore throat,what is the uses of Chlorpheniram-DM-Acetaminophen
sore throat,what is the uses of DM-Benzocaine-Menthol
sore throat,what is the uses of Dextromethorphan-Benzocaine
sore throat,what is the uses of Dextromethorphan-Benzocaine
sore throat,what is the uses of Doxylamine-DM-Acetaminophen
vertigo,what is the uses of Dimenhydrinate
vertigo,what is the uses of Dimenhydrinate
vertigo,what is the uses of Diphenhydramine Citrate
vertigo,what is the uses of Diphenhydramine Hcl
vertigo,what is the uses of Diphenhydramine Hcl
vertigo,what is the uses of Diphenhydramine Hcl
vertigo,what is the uses of Diphenhydramine Hcl
vertigo,"what is the uses of Diphenhydramine Hcl, Clemastine-Phenylprop, Triprolidine-Pseudoephedrine"
vertigo,"what is the uses of Diphenhydramine Hcl, Dextromethorphan-Guaifenesin, Dextromethorphan Hbr"
vertigo,"what is the uses of Diphenhydramine Hcl, Diphenhydramine Citrate"
vertigo,what is the uses of Meclizine
vertigo,what is the uses of Meclizine
vertigo,what is the uses of Meclizine
vulvovaginal candidiasis,what is the uses of Butoconazole Nitrate
vulvovaginal candidiasis,what is the uses of Butoconazole Nitrate
vulvovaginal candidiasis,what is the uses of Clotrimazole
vulvovaginal candidiasis,what is the uses of Fluconazole
vulvovaginal candidiasis,what is the uses of Miconazole Nitrate
vulvovaginal candidiasis,what is the uses of Miconazole Nitrate
vulvovaginal candidiasis,what is the uses of Miconazole-Skin Clnsr17
vulvovaginal candidiasis,what is the uses of Miconazole-Skin Clnsr17
vulvovaginal candidiasis,what is the uses of Terconazole
vulvovaginal candidiasis,what is the uses of Tioconazole
